,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2021-06-11,36677.83,37680.40,35936.77,37331.98,78466.01,78466.01
2021-06-12,37331.98,37463.63,34600.36,35546.11,87717.55,87717.55
2021-06-13,35546.12,39380.00,34757.00,39020.57,86921.03,86921.03
2021-06-14,39020.56,41064.05,38730.00,40516.29,108522.39,108522.39
2021-06-15,40516.28,41330.00,39506.40,40144.04,80679.62,80679.62
2021-06-16,40143.80,40527.14,38116.01,38349.01,87771.98,87771.98
2021-06-17,38349.00,39559.88,37365.00,38092.97,79541.31,79541.31
2021-06-18,38092.97,38202.84,35129.29,35819.84,95228.04,95228.04
2021-06-19,35820.48,36457.00,34803.52,35483.72,68712.45,68712.45
2021-06-20,35483.72,36137.72,33336.00,35600.16,89878.17,89878.17
2021-06-21,35600.17,35750.00,31251.23,31608.93,168778.87,168778.87
2021-06-22,31614.12,33298.78,28805.00,32509.56,204208.18,204208.18
2021-06-23,32509.56,34881.00,31683.00,33678.07,126966.10,126966.10
2021-06-24,33675.07,35298.00,32286.57,34663.09,86625.80,86625.80
2021-06-25,34663.08,35500.00,31275.00,31584.45,116061.13,116061.13
2021-06-26,31576.09,32730.00,30151.00,32283.65,107820.38,107820.38
2021-06-27,32283.65,34749.00,31973.45,34700.34,96613.24,96613.24
2021-06-28,34702.49,35297.71,33862.72,34494.89,82222.27,82222.27
2021-06-29,34494.89,36600.00,34225.43,35911.73,90788.80,90788.80
2021-06-30,35911.72,36100.00,34017.55,35045.00,77152.20,77152.20
2021-07-01,35045.00,35057.57,32711.00,33504.69,71708.27,71708.27
2021-07-02,33502.33,33977.04,32699.00,33786.55,56172.18,56172.18
2021-07-03,33786.54,34945.61,33316.73,34669.13,43044.58,43044.58
2021-07-04,34669.12,35967.85,34357.15,35286.51,43703.48,43703.48
2021-07-05,35288.13,35293.78,33125.55,33690.14,64123.87,64123.87
2021-07-06,33690.15,35118.88,33532.00,34220.01,58210.60,58210.60
2021-07-07,34220.02,35059.09,33777.77,33862.12,53807.52,53807.52
2021-07-08,33862.11,33929.64,32077.00,32875.71,70136.48,70136.48
2021-07-09,32875.71,34100.00,32261.07,33815.81,47153.94,47153.94
2021-07-10,33815.81,34262.00,33004.78,33502.87,34761.18,34761.18
2021-07-11,33502.87,34666.00,33306.47,34258.99,31572.65,31572.65
2021-07-12,34259.00,34678.43,32658.34,33086.63,48181.40,48181.40
2021-07-13,33086.94,33340.00,32202.25,32729.77,41126.36,41126.36
2021-07-14,32729.12,33114.03,31550.00,32820.02,46777.82,46777.82
2021-07-15,32820.03,33185.25,31133.00,31880.00,51639.58,51639.58
2021-07-16,31874.49,32249.18,31020.00,31383.87,48499.86,48499.86
2021-07-17,31383.86,31955.92,31164.31,31520.07,34012.24,34012.24
2021-07-18,31520.07,32435.00,31108.97,31778.56,35923.72,35923.72
2021-07-19,31778.57,31899.00,30407.44,30839.65,47340.47,47340.47
2021-07-20,30839.65,31063.07,29278.00,29790.35,61034.05,61034.05
2021-07-21,29790.34,32858.00,29482.61,32144.51,82796.27,82796.27
2021-07-22,32144.51,32591.35,31708.00,32287.83,46148.09,46148.09
2021-07-23,32287.58,33650.00,31924.32,33634.09,50112.86,50112.86
2021-07-24,33634.10,34500.00,33401.14,34258.14,47977.55,47977.55
2021-07-25,34261.51,35398.00,33851.12,35381.02,47852.93,47852.93
2021-07-26,35381.02,40550.00,35205.78,37237.60,152452.51,152452.51
2021-07-27,37241.33,39542.61,36383.00,39457.87,88397.27,88397.27
2021-07-28,39456.61,40900.00,38772.00,40019.56,101344.53,101344.53
2021-07-29,40019.57,40640.00,39200.00,40016.48,53998.44,53998.44
2021-07-30,40018.49,42316.71,38313.23,42206.37,73602.78,73602.78
2021-07-31,42206.36,42448.00,41000.15,41461.83,44849.79,44849.79
2021-08-01,41461.84,42599.00,39422.01,39845.44,53953.19,53953.19
2021-08-02,39850.27,40480.01,38690.00,39147.82,50837.35,50837.35
2021-08-03,39146.86,39780.00,37642.03,38207.05,57117.44,57117.44
2021-08-04,38207.04,39969.66,37508.56,39723.18,52329.35,52329.35
2021-08-05,39723.17,41350.00,37332.70,40862.46,84343.76,84343.76
2021-08-06,40862.46,43392.43,39853.86,42836.87,75753.94,75753.94
2021-08-07,42836.87,44700.00,42446.41,44572.54,73396.74,73396.74
2021-08-08,44572.54,45310.00,43261.00,43794.37,69329.09,69329.09
2021-08-09,43794.36,46454.15,42779.00,46253.40,74587.88,74587.88
2021-08-10,46248.87,46700.00,44589.46,45584.99,53814.64,53814.64
2021-08-11,45585.00,46743.47,45341.14,45511.00,52734.90,52734.90
2021-08-12,45510.67,46218.12,43770.00,44399.00,55266.11,55266.11
2021-08-13,44400.06,47886.00,44217.39,47800.00,48239.37,48239.37
2021-08-14,47799.99,48144.00,45971.03,47068.51,46114.36,46114.36
2021-08-15,47068.50,47372.27,45500.00,46973.82,42110.71,42110.71
2021-08-16,46973.82,48053.83,45660.00,45901.29,52480.57,52480.57
2021-08-17,45901.30,47160.00,44376.00,44695.95,57039.34,57039.34
2021-08-18,44695.95,46000.00,44203.28,44705.29,54099.42,54099.42
2021-08-19,44699.37,47033.00,43927.70,46760.62,53411.75,53411.75
2021-08-20,46760.62,49382.99,46622.99,49322.47,56850.35,56850.35
2021-08-21,49322.47,49757.04,48222.00,48821.87,46745.14,46745.14
2021-08-22,48821.88,49500.00,48050.00,49239.22,37007.89,37007.89
2021-08-23,49239.22,50500.00,49029.00,49488.85,52462.54,52462.54
2021-08-24,49488.85,49860.00,47600.00,47674.01,51014.59,51014.59
2021-08-25,47674.01,49264.30,47126.28,48973.32,44655.83,44655.83
2021-08-26,48973.32,49352.84,46250.00,46843.87,49371.28,49371.28
2021-08-27,46843.86,49149.93,46348.00,49069.90,42068.10,42068.10
2021-08-28,49069.90,49299.00,48346.88,48895.35,26681.06,26681.06
