,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2021-06-16,40143.8,40527.14,38116.01,38349.01,87771.98,87771.98,-1794.7900000000009
2021-06-17,38349.0,39559.88,37365.0,38092.97,79541.31,79541.31,-256.02999999999884
2021-06-18,38092.97,38202.84,35129.29,35819.84,95228.04,95228.04,-2273.1300000000047
2021-06-19,35820.48,36457.0,34803.52,35483.72,68712.45,68712.45,-336.76000000000204
2021-06-20,35483.72,36137.72,33336.0,35600.16,89878.17,89878.17,116.44000000000233
2021-06-21,35600.17,35750.0,31251.23,31608.93,168778.87,168778.87,-3991.239999999998
2021-06-22,31614.12,33298.78,28805.0,32509.56,204208.18,204208.18,895.4400000000023
2021-06-23,32509.56,34881.0,31683.0,33678.07,126966.1,126966.1,1168.5099999999984
2021-06-24,33675.07,35298.0,32286.57,34663.09,86625.8,86625.8,988.0199999999968
2021-06-25,34663.08,35500.0,31275.0,31584.45,116061.13,116061.13,-3078.630000000001
2021-06-26,31576.09,32730.0,30151.0,32283.65,107820.38,107820.38,707.5600000000013
2021-06-27,32283.65,34749.0,31973.45,34700.34,96613.24,96613.24,2416.689999999995
2021-06-28,34702.49,35297.71,33862.72,34494.89,82222.27,82222.27,-207.59999999999854
2021-06-29,34494.89,36600.0,34225.43,35911.73,90788.8,90788.8,1416.8400000000038
2021-06-30,35911.72,36100.0,34017.55,35045.0,77152.2,77152.2,-866.7200000000012
2021-07-01,35045.0,35057.57,32711.0,33504.69,71708.27,71708.27,-1540.3099999999977
2021-07-02,33502.33,33977.04,32699.0,33786.55,56172.18,56172.18,284.22000000000116
2021-07-03,33786.54,34945.61,33316.73,34669.13,43044.58,43044.58,882.5899999999965
2021-07-04,34669.12,35967.85,34357.15,35286.51,43703.48,43703.48,617.3899999999994
2021-07-05,35288.13,35293.78,33125.55,33690.14,64123.87,64123.87,-1597.989999999998
2021-07-06,33690.15,35118.88,33532.0,34220.01,58210.6,58210.6,529.8600000000006
2021-07-07,34220.02,35059.09,33777.77,33862.12,53807.52,53807.52,-357.8999999999942
2021-07-08,33862.11,33929.64,32077.0,32875.71,70136.48,70136.48,-986.4000000000015
2021-07-09,32875.71,34100.0,32261.07,33815.81,47153.94,47153.94,940.0999999999985
2021-07-10,33815.81,34262.0,33004.78,33502.87,34761.18,34761.18,-312.93999999999505
2021-07-11,33502.87,34666.0,33306.47,34258.99,31572.65,31572.65,756.1199999999953
2021-07-12,34259.0,34678.43,32658.34,33086.63,48181.4,48181.4,-1172.3700000000026
2021-07-13,33086.94,33340.0,32202.25,32729.77,41126.36,41126.36,-357.1700000000019
2021-07-14,32729.12,33114.03,31550.0,32820.02,46777.82,46777.82,90.89999999999782
2021-07-15,32820.03,33185.25,31133.0,31880.0,51639.58,51639.58,-940.0299999999988
2021-07-16,31874.49,32249.18,31020.0,31383.87,48499.86,48499.86,-490.6200000000026
2021-07-17,31383.86,31955.92,31164.31,31520.07,34012.24,34012.24,136.20999999999913
2021-07-18,31520.07,32435.0,31108.97,31778.56,35923.72,35923.72,258.4900000000016
2021-07-19,31778.57,31899.0,30407.44,30839.65,47340.47,47340.47,-938.9199999999983
2021-07-20,30839.65,31063.07,29278.0,29790.35,61034.05,61034.05,-1049.300000000003
2021-07-21,29790.34,32858.0,29482.61,32144.51,82796.27,82796.27,2354.1699999999983
