,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2021-06-16,0.32,0.32,0.31,0.31,888434880.9,888434880.9,-0.010000000000000009
2021-06-17,0.31,0.31,0.3,0.31,680701230.2,680701230.2,0.0
2021-06-18,0.31,0.31,0.28,0.29,1314700190.7,1314700190.7,-0.020000000000000018
2021-06-19,0.29,0.3,0.29,0.29,624846001.4,624846001.4,0.0
2021-06-20,0.29,0.29,0.26,0.28,1528605029.5,1528605029.5,-0.009999999999999953
2021-06-21,0.28,0.28,0.16,0.18,7023706752.6,7023706752.6,-0.10000000000000003
2021-06-22,0.18,0.22,0.16,0.19,7520083611.8,7520083611.8,0.010000000000000009
2021-06-23,0.19,0.25,0.18,0.23,5839514040.0,5839514040.0,0.04000000000000001
2021-06-24,0.23,0.27,0.22,0.26,3579998951.2,3579998951.2,0.03
2021-06-25,0.26,0.29,0.23,0.24,5942192455.5,5942192455.5,-0.020000000000000018
2021-06-26,0.24,0.26,0.23,0.25,2653188955.6,2653188955.6,0.010000000000000009
2021-06-27,0.25,0.27,0.24,0.26,1968559379.6,1968559379.6,0.010000000000000009
2021-06-28,0.26,0.27,0.25,0.26,1734504424.8,1734504424.8,0.0
2021-06-29,0.26,0.28,0.25,0.26,1927372368.1,1927372368.1,0.0
2021-06-30,0.26,0.26,0.24,0.25,1610075649.0,1610075649.0,-0.010000000000000009
2021-07-01,0.25,0.26,0.24,0.24,2253058516.9,2253058516.9,-0.010000000000000009
2021-07-02,0.24,0.25,0.24,0.25,1081847381.6,1081847381.6,0.010000000000000009
2021-07-03,0.24,0.25,0.24,0.25,759251070.1,759251070.1,0.010000000000000009
2021-07-04,0.25,0.25,0.24,0.25,823044174.7,823044174.7,0.0
2021-07-05,0.25,0.25,0.23,0.23,1181584860.3,1181584860.3,-0.01999999999999999
2021-07-06,0.23,0.24,0.23,0.23,981368400.5,981368400.5,0.0
2021-07-07,0.23,0.24,0.22,0.22,952129896.6,952129896.6,-0.010000000000000009
2021-07-08,0.22,0.22,0.2,0.21,1487061330.1,1487061330.1,-0.010000000000000009
2021-07-09,0.21,0.23,0.2,0.22,2291127903.5,2291127903.5,0.010000000000000009
2021-07-10,0.22,0.23,0.21,0.21,919482894.5,919482894.5,-0.010000000000000009
2021-07-11,0.21,0.22,0.21,0.22,551263176.4,551263176.4,0.010000000000000009
2021-07-12,0.22,0.22,0.2,0.21,805441341.2,805441341.2,-0.010000000000000009
2021-07-13,0.21,0.21,0.2,0.2,916221269.9,916221269.9,-0.009999999999999981
2021-07-14,0.2,0.2,0.19,0.2,1247947078.4,1247947078.4,0.0
2021-07-15,0.2,0.2,0.18,0.19,966797093.3,966797093.3,-0.010000000000000009
2021-07-16,0.19,0.19,0.17,0.17,1185633674.2,1185633674.2,-0.01999999999999999
2021-07-17,0.17,0.21,0.17,0.19,2572720766.9,2572720766.9,0.01999999999999999
2021-07-18,0.19,0.2,0.18,0.18,1344894101.6,1344894101.6,-0.010000000000000009
2021-07-19,0.18,0.18,0.17,0.17,1079953391.4,1079953391.4,-0.009999999999999981
2021-07-20,0.17,0.18,0.16,0.17,1865041957.2,1865041957.2,0.0
2021-07-21,0.17,0.21,0.17,0.19,4505979384.2,4505979384.2,0.01999999999999999
2021-07-22,0.19,0.2,0.19,0.19,1393922167.5,1393922167.5,0.0
2021-07-23,0.19,0.2,0.18,0.19,1352326692.4,1352326692.4,0.0
2021-07-24,0.19,0.2,0.19,0.2,1627615706.2,1627615706.2,0.010000000000000009
2021-07-25,0.2,0.2,0.19,0.2,1122436168.6,1122436168.6,0.0
2021-07-26,0.2,0.23,0.2,0.2,4546455511.8,4546455511.8,0.0
2021-07-27,0.2,0.21,0.2,0.21,2030159664.4,2030159664.4,0.009999999999999981
2021-07-28,0.21,0.21,0.2,0.21,1698684418.6,1698684418.6,0.0
2021-07-29,0.21,0.21,0.2,0.21,875707720.8,875707720.8,0.0
2021-07-30,0.21,0.21,0.2,0.21,1260492016.3,1260492016.3,0.0
2021-07-31,0.21,0.21,0.2,0.21,1177482439.7,1177482439.7,0.0
2021-08-01,0.21,0.22,0.2,0.2,1550637730.2,1550637730.2,-0.009999999999999981
2021-08-02,0.2,0.21,0.2,0.2,896401081.3,896401081.3,0.0
2021-08-03,0.2,0.21,0.19,0.2,977103235.1,977103235.1,0.0
2021-08-04,0.2,0.2,0.19,0.2,873261017.4,873261017.4,0.0
2021-08-05,0.2,0.2,0.19,0.2,946707300.6,946707300.6,0.0
2021-08-06,0.2,0.21,0.2,0.2,1263420290.4,1263420290.4,0.0
2021-08-07,0.2,0.26,0.2,0.26,5158338816.2,5158338816.2,0.06
2021-08-08,0.26,0.28,0.23,0.24,5791158603.5,5791158603.5,-0.020000000000000018
2021-08-09,0.24,0.27,0.23,0.26,3702865258.6,3702865258.6,0.020000000000000018
2021-08-10,0.26,0.26,0.25,0.26,2588076619.6,2588076619.6,0.0
2021-08-11,0.26,0.28,0.26,0.26,3712761104.7,3712761104.7,0.0
2021-08-12,0.26,0.29,0.25,0.26,3923287429.8,3923287429.8,0.0
2021-08-13,0.26,0.29,0.26,0.29,2142420241.3,2142420241.3,0.02999999999999997
