,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2021-06-19,0.29,0.30,0.29,0.29,624846001.40,624846001.40
2021-06-20,0.29,0.29,0.26,0.28,1528605029.50,1528605029.50
2021-06-21,0.28,0.28,0.16,0.18,7023706752.60,7023706752.60
2021-06-22,0.18,0.22,0.16,0.19,7520083611.80,7520083611.80
2021-06-23,0.19,0.25,0.18,0.23,5839514040.00,5839514040.00
2021-06-24,0.23,0.27,0.22,0.26,3579998951.20,3579998951.20
2021-06-25,0.26,0.29,0.23,0.24,5942192455.50,5942192455.50
2021-06-26,0.24,0.26,0.23,0.25,2653188955.60,2653188955.60
2021-06-27,0.25,0.27,0.24,0.26,1968559379.60,1968559379.60
2021-06-28,0.26,0.27,0.25,0.26,1734504424.80,1734504424.80
2021-06-29,0.26,0.28,0.25,0.26,1927372368.10,1927372368.10
2021-06-30,0.26,0.26,0.24,0.25,1610075649.00,1610075649.00
2021-07-01,0.25,0.26,0.24,0.24,2253058516.90,2253058516.90
2021-07-02,0.24,0.25,0.24,0.25,1081847381.60,1081847381.60
2021-07-03,0.24,0.25,0.24,0.25,759251070.10,759251070.10
2021-07-04,0.25,0.25,0.24,0.25,823044174.70,823044174.70
2021-07-05,0.25,0.25,0.23,0.23,1181584860.30,1181584860.30
2021-07-06,0.23,0.24,0.23,0.23,981368400.50,981368400.50
2021-07-07,0.23,0.24,0.22,0.22,952129896.60,952129896.60
2021-07-08,0.22,0.22,0.20,0.21,1487061330.10,1487061330.10
2021-07-09,0.21,0.23,0.20,0.22,2291127903.50,2291127903.50
2021-07-10,0.22,0.23,0.21,0.21,919482894.50,919482894.50
2021-07-11,0.21,0.22,0.21,0.22,551263176.40,551263176.40
2021-07-12,0.22,0.22,0.20,0.21,805441341.20,805441341.20
2021-07-13,0.21,0.21,0.20,0.20,916221269.90,916221269.90
2021-07-14,0.20,0.20,0.19,0.20,1247947078.40,1247947078.40
2021-07-15,0.20,0.20,0.18,0.19,966797093.30,966797093.30
2021-07-16,0.19,0.19,0.17,0.17,1185633674.20,1185633674.20
2021-07-17,0.17,0.21,0.17,0.19,2572720766.90,2572720766.90
2021-07-18,0.19,0.20,0.18,0.18,1344894101.60,1344894101.60
2021-07-19,0.18,0.18,0.17,0.17,1079953391.40,1079953391.40
2021-07-20,0.17,0.18,0.16,0.17,1865041957.20,1865041957.20
2021-07-21,0.17,0.21,0.17,0.19,4505979384.20,4505979384.20
2021-07-22,0.19,0.20,0.19,0.19,1393922167.50,1393922167.50
2021-07-23,0.19,0.20,0.18,0.19,1352326692.40,1352326692.40
2021-07-24,0.19,0.20,0.19,0.20,1627615706.20,1627615706.20
2021-07-25,0.20,0.20,0.19,0.20,1122436168.60,1122436168.60
2021-07-26,0.20,0.23,0.20,0.20,4546455511.80,4546455511.80
2021-07-27,0.20,0.21,0.20,0.21,2030159664.40,2030159664.40
2021-07-28,0.21,0.21,0.20,0.21,1698684418.60,1698684418.60
2021-07-29,0.21,0.21,0.20,0.21,875707720.80,875707720.80
2021-07-30,0.21,0.21,0.20,0.21,1260492016.30,1260492016.30
2021-07-31,0.21,0.21,0.20,0.21,1177482439.70,1177482439.70
2021-08-01,0.21,0.22,0.20,0.20,1550637730.20,1550637730.20
2021-08-02,0.20,0.21,0.20,0.20,896401081.30,896401081.30
2021-08-03,0.20,0.21,0.19,0.20,977103235.10,977103235.10
2021-08-04,0.20,0.20,0.19,0.20,873261017.40,873261017.40
2021-08-05,0.20,0.20,0.19,0.20,946707300.60,946707300.60
2021-08-06,0.20,0.21,0.20,0.20,1263420290.40,1263420290.40
2021-08-07,0.20,0.26,0.20,0.26,5158338816.20,5158338816.20
2021-08-08,0.26,0.28,0.23,0.24,5791158603.50,5791158603.50
2021-08-09,0.24,0.27,0.23,0.26,3702865258.60,3702865258.60
2021-08-10,0.26,0.26,0.25,0.26,2588076619.60,2588076619.60
2021-08-11,0.26,0.28,0.26,0.26,3712761104.70,3712761104.70
2021-08-12,0.26,0.29,0.25,0.26,3923287429.80,3923287429.80
2021-08-13,0.26,0.29,0.26,0.29,2142420241.30,2142420241.30
2021-08-14,0.29,0.30,0.28,0.29,3131790645.40,3131790645.40
2021-08-15,0.29,0.35,0.29,0.34,4964816125.00,4964816125.00
2021-08-16,0.34,0.35,0.31,0.32,4130699106.80,4130699106.80
2021-08-17,0.32,0.34,0.29,0.30,3520234606.50,3520234606.50
2021-08-18,0.30,0.33,0.28,0.30,4089557667.20,4089557667.20
2021-08-19,0.30,0.32,0.29,0.32,2386616242.50,2386616242.50
2021-08-20,0.32,0.34,0.31,0.33,2177517962.30,2177517962.30
2021-08-21,0.33,0.33,0.31,0.32,1751965697.20,1751965697.20
2021-08-22,0.32,0.32,0.30,0.31,1401118643.80,1401118643.80
2021-08-23,0.31,0.33,0.31,0.32,1842154214.40,1842154214.40
2021-08-24,0.32,0.32,0.27,0.29,2336380653.80,2336380653.80
2021-08-25,0.29,0.30,0.28,0.29,1658742148.80,1658742148.80
2021-08-26,0.29,0.30,0.26,0.27,1401204832.10,1401204832.10
2021-08-27,0.27,0.30,0.27,0.29,1345067751.70,1345067751.70
2021-08-28,0.29,0.30,0.28,0.29,813242385.10,813242385.10
2021-08-29,0.29,0.29,0.28,0.28,758831427.00,758831427.00
2021-08-30,0.28,0.29,0.27,0.27,994923907.00,994923907.00
2021-08-31,0.27,0.29,0.27,0.28,994391602.00,994391602.00
2021-09-01,0.28,0.29,0.27,0.29,1077645215.00,1077645215.00
2021-09-02,0.29,0.31,0.29,0.29,1859879704.70,1859879704.70
2021-09-03,0.29,0.30,0.29,0.30,1248795134.00,1248795134.00
2021-09-04,0.30,0.31,0.29,0.30,1170386591.00,1170386591.00
2021-09-05,0.30,0.32,0.30,0.31,1273101183.70,1273101183.70
2021-09-06,0.31,0.32,0.30,0.31,1327741283.10,1327741283.10
2021-09-07,0.31,0.31,0.21,0.26,4143609594.10,4143609594.10
2021-09-08,0.26,0.26,0.23,0.26,2036725778.00,2036725778.00
2021-09-09,0.26,0.26,0.25,0.25,972908690.00,972908690.00
2021-09-10,0.25,0.26,0.24,0.24,1039971873.00,1039971873.00
2021-09-11,0.24,0.25,0.24,0.24,574961334.00,574961334.00
2021-09-12,0.24,0.26,0.24,0.25,824439503.00,824439503.00
2021-09-13,0.25,0.25,0.23,0.24,1194502511.00,1194502511.00
2021-09-14,0.24,0.24,0.23,0.24,600777341.00,600777341.00
2021-09-15,0.24,0.25,0.24,0.25,624731884.00,624731884.00
2021-09-16,0.25,0.25,0.23,0.24,767085717.00,767085717.00
2021-09-17,0.24,0.26,0.24,0.24,1532347235.00,1532347235.00
2021-09-18,0.24,0.25,0.24,0.24,532008968.00,532008968.00
2021-09-19,0.24,0.24,0.23,0.23,486273037.00,486273037.00
2021-09-20,0.23,0.23,0.20,0.21,1842218251.90,1842218251.90
2021-09-21,0.21,0.22,0.20,0.20,1475472637.80,1475472637.80
2021-09-22,0.20,0.23,0.20,0.22,1505717159.70,1505717159.70
