,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2021-06-19,20.40,20.98,19.75,19.76,1744280.98,1744280.98
2021-06-20,19.76,21.02,18.62,20.70,2410717.38,2410717.38
2021-06-21,20.70,20.87,15.74,15.77,4733664.60,4733664.60
2021-06-22,15.79,17.20,13.93,16.42,6573754.01,6573754.01
2021-06-23,16.41,18.49,15.77,17.80,3802110.64,3802110.64
2021-06-24,17.80,18.60,16.61,18.05,2840757.25,2840757.25
2021-06-25,18.05,18.35,15.70,15.82,3191117.77,3191117.77
2021-06-26,15.82,16.47,15.10,16.12,2113043.45,2113043.45
2021-06-27,16.12,17.10,15.62,17.10,1849690.82,1849690.82
2021-06-28,17.08,18.15,16.87,17.73,2122095.86,2122095.86
2021-06-29,17.73,19.19,17.66,18.65,2732626.33,2732626.33
2021-06-30,18.64,19.30,17.15,19.28,2596846.28,2596846.28
2021-07-01,19.28,19.29,17.54,17.78,2155310.32,2155310.32
2021-07-02,17.78,18.26,16.94,18.21,1673825.91,1673825.91
2021-07-03,18.22,19.56,17.79,19.47,1969946.10,1969946.10
2021-07-04,19.47,21.50,18.93,20.76,3396421.14,3396421.14
2021-07-05,20.75,20.91,19.07,20.06,3729063.07,3729063.07
2021-07-06,20.06,23.23,20.03,22.38,5911864.44,5911864.44
2021-07-07,22.37,23.46,21.65,22.25,3088190.07,3088190.07
2021-07-08,22.25,22.31,19.91,20.35,3124268.55,3124268.55
2021-07-09,20.34,21.69,19.78,20.99,2534220.37,2534220.37
2021-07-10,20.98,21.52,19.95,20.24,1405443.52,1405443.52
2021-07-11,20.25,20.95,19.98,20.70,1315491.27,1315491.27
2021-07-12,20.70,21.45,19.20,19.53,1844838.19,1844838.19
2021-07-13,19.53,19.74,18.17,18.47,2357239.53,2357239.53
2021-07-14,18.46,18.54,16.72,17.89,4782786.98,4782786.98
2021-07-15,17.89,18.39,16.80,17.07,3278504.79,3278504.79
2021-07-16,17.07,17.60,15.92,16.34,2512504.07,2512504.07
2021-07-17,16.35,16.74,15.93,16.10,2244463.84,2244463.84
2021-07-18,16.11,17.17,16.02,16.30,2646507.71,2646507.71
2021-07-19,16.31,16.79,15.40,15.74,3004534.04,3004534.04
2021-07-20,15.73,15.97,14.39,14.55,3276914.08,3276914.08
2021-07-21,14.57,16.88,14.01,16.73,3689271.24,3689271.24
2021-07-22,16.73,17.62,16.07,17.58,2957017.84,2957017.84
2021-07-23,17.57,18.69,16.93,18.60,2570278.50,2570278.50
2021-07-24,18.60,18.94,18.03,18.24,2296503.76,2296503.76
2021-07-25,18.24,18.45,17.24,18.29,1820324.30,1820324.30
2021-07-26,18.27,20.32,18.17,18.53,4348247.68,4348247.68
2021-07-27,18.52,19.25,17.67,18.89,2480974.86,2480974.86
2021-07-28,18.89,19.47,18.52,19.07,2170430.68,2170430.68
2021-07-29,19.06,19.81,18.57,19.58,1868109.68,1868109.68
