,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2021-06-19,0.80,0.81,0.76,0.76,317290687.13,317290687.13
2021-06-20,0.76,0.79,0.70,0.77,589364804.52,589364804.52
2021-06-21,0.77,0.78,0.60,0.61,1073284195.87,1073284195.87
2021-06-22,0.61,0.65,0.51,0.55,1611548012.73,1611548012.73
2021-06-23,0.55,0.67,0.52,0.64,1167774271.66,1167774271.66
2021-06-24,0.64,0.69,0.62,0.67,633338243.16,633338243.16
2021-06-25,0.67,0.69,0.60,0.61,795450033.45,795450033.45
2021-06-26,0.61,0.63,0.58,0.62,548990505.59,548990505.59
2021-06-27,0.62,0.65,0.60,0.65,472483880.77,472483880.77
2021-06-28,0.65,0.66,0.62,0.64,460033268.30,460033268.30
2021-06-29,0.64,0.73,0.64,0.71,718445315.27,718445315.27
2021-06-30,0.71,0.71,0.65,0.71,634287485.15,634287485.15
2021-07-01,0.71,0.71,0.64,0.66,463328799.28,463328799.28
2021-07-02,0.66,0.67,0.63,0.66,387562387.59,387562387.59
2021-07-03,0.66,0.68,0.64,0.67,329367273.74,329367273.74
2021-07-04,0.67,0.71,0.67,0.70,334071078.78,334071078.78
2021-07-05,0.70,0.70,0.64,0.65,407839477.88,407839477.88
2021-07-06,0.65,0.68,0.65,0.66,356111895.89,356111895.89
2021-07-07,0.66,0.67,0.65,0.65,284356433.42,284356433.42
2021-07-08,0.65,0.65,0.61,0.62,430925669.18,430925669.18
2021-07-09,0.62,0.65,0.59,0.64,358836803.69,358836803.69
2021-07-10,0.64,0.65,0.61,0.62,279711260.06,279711260.06
2021-07-11,0.62,0.64,0.62,0.64,201320995.42,201320995.42
2021-07-12,0.64,0.66,0.62,0.63,356848391.96,356848391.96
2021-07-13,0.63,0.64,0.61,0.62,315648113.80,315648113.80
2021-07-14,0.62,0.62,0.59,0.62,352306488.76,352306488.76
2021-07-15,0.62,0.63,0.59,0.60,339655984.05,339655984.05
2021-07-16,0.60,0.62,0.59,0.59,282511701.89,282511701.89
2021-07-17,0.59,0.60,0.56,0.58,263418042.14,263418042.14
2021-07-18,0.58,0.60,0.57,0.59,241849135.65,241849135.65
2021-07-19,0.59,0.59,0.55,0.56,294780945.07,294780945.07
2021-07-20,0.56,0.57,0.52,0.53,393704657.61,393704657.61
2021-07-21,0.53,0.58,0.52,0.57,493423679.61,493423679.61
2021-07-22,0.57,0.60,0.56,0.59,409238764.36,409238764.36
2021-07-23,0.59,0.61,0.58,0.61,359561806.43,359561806.43
2021-07-24,0.61,0.62,0.60,0.61,319684922.30,319684922.30
2021-07-25,0.61,0.61,0.59,0.61,259034501.15,259034501.15
2021-07-26,0.61,0.68,0.60,0.62,803413949.18,803413949.18
2021-07-27,0.62,0.65,0.61,0.65,427078091.95,427078091.95
2021-07-28,0.65,0.75,0.63,0.73,1172622702.04,1172622702.04
2021-07-29,0.73,0.77,0.70,0.75,513356476.87,513356476.87
2021-07-30,0.75,0.77,0.71,0.75,604445794.90,604445794.90
2021-07-31,0.75,0.76,0.74,0.75,377281828.25,377281828.25
2021-08-01,0.75,0.78,0.70,0.72,469477766.36,469477766.36
2021-08-02,0.72,0.77,0.71,0.74,410656081.94,410656081.94
2021-08-03,0.74,0.74,0.70,0.71,398158150.61,398158150.61
2021-08-04,0.71,0.74,0.70,0.73,330543019.03,330543019.03
2021-08-05,0.73,0.74,0.70,0.73,331894003.59,331894003.59
2021-08-06,0.73,0.75,0.72,0.75,304988991.92,304988991.92
2021-08-07,0.75,0.82,0.74,0.82,589624594.72,589624594.72
2021-08-08,0.82,0.84,0.77,0.78,556138875.77,556138875.77
2021-08-09,0.78,0.83,0.76,0.82,474908832.08,474908832.08
2021-08-10,0.82,0.86,0.80,0.85,503252613.21,503252613.21
2021-08-11,0.85,1.09,0.85,1.01,1131344973.99,1131344973.99
2021-08-12,1.01,1.04,0.92,0.97,990869466.08,990869466.08
2021-08-13,0.97,1.10,0.95,1.09,674407528.31,674407528.31
2021-08-14,1.09,1.31,1.07,1.28,1408060485.32,1408060485.32
2021-08-15,1.28,1.35,1.23,1.28,1155282513.71,1155282513.71
2021-08-16,1.28,1.33,1.14,1.19,912003805.45,912003805.45
2021-08-17,1.19,1.25,1.08,1.10,893360572.36,893360572.36
2021-08-18,1.10,1.20,1.05,1.14,870414538.26,870414538.26
2021-08-19,1.14,1.24,1.09,1.23,723276976.29,723276976.29
2021-08-20,1.23,1.29,1.20,1.26,594584554.01,594584554.01
2021-08-21,1.26,1.28,1.20,1.22,394160040.58,394160040.58
2021-08-22,1.22,1.26,1.18,1.23,360176161.72,360176161.72
2021-08-23,1.23,1.30,1.20,1.25,661403795.74,661403795.74
2021-08-24,1.25,1.27,1.12,1.14,637760055.93,637760055.93
2021-08-25,1.14,1.18,1.11,1.17,530858362.99,530858362.99
2021-08-26,1.17,1.19,1.06,1.07,569965192.92,569965192.92
2021-08-27,1.07,1.19,1.05,1.19,565739468.35,565739468.35
2021-08-28,1.19,1.20,1.13,1.15,314618250.83,314618250.83
2021-08-29,1.15,1.17,1.11,1.14,313294895.00,313294895.00
2021-08-30,1.14,1.15,1.09,1.10,364996870.00,364996870.00
2021-08-31,1.10,1.24,1.09,1.19,709823003.30,709823003.30
2021-09-01,1.19,1.24,1.16,1.24,469917987.00,469917987.00
2021-09-02,1.24,1.29,1.22,1.25,501596506.82,501596506.82
2021-09-03,1.25,1.32,1.22,1.29,526413570.07,526413570.07
2021-09-04,1.29,1.30,1.24,1.25,355870711.00,355870711.00
2021-09-05,1.25,1.31,1.24,1.31,335187953.00,335187953.00
2021-09-06,1.31,1.42,1.31,1.39,710855257.92,710855257.92
2021-09-07,1.39,1.39,0.95,1.13,1297978123.89,1297978123.89
2021-09-08,1.13,1.15,1.01,1.10,794455994.00,794455994.00
2021-09-09,1.10,1.14,1.06,1.09,604426508.00,604426508.00
2021-09-10,1.09,1.25,1.03,1.06,901671116.00,901671116.00
2021-09-11,1.06,1.12,1.05,1.08,336502704.00,336502704.00
2021-09-12,1.08,1.13,1.06,1.12,324049191.00,324049191.00
2021-09-13,1.12,1.13,1.02,1.06,510682363.00,510682363.00
2021-09-14,1.06,1.10,1.06,1.10,275908113.00,275908113.00
2021-09-15,1.10,1.13,1.08,1.12,289063987.00,289063987.00
2021-09-16,1.12,1.13,1.07,1.09,302954441.00,302954441.00
2021-09-17,1.09,1.10,1.05,1.07,297933223.00,297933223.00
2021-09-18,1.07,1.10,1.06,1.08,195352031.00,195352031.00
2021-09-19,1.08,1.08,1.04,1.05,211015299.00,211015299.00
2021-09-20,1.05,1.05,0.87,0.92,837287959.74,837287959.74
2021-09-21,0.92,0.96,0.86,0.87,632313366.81,632313366.81
2021-09-22,0.87,1.01,0.87,1.00,606417695.00,606417695.00
2021-09-23,1.00,1.02,0.97,1.00,409673892.00,409673892.00
2021-09-24,1.00,1.00,0.89,0.94,605329486.00,605329486.00
2021-09-25,0.94,0.96,0.92,0.94,347043937.00,347043937.00
2021-09-26,0.94,0.96,0.89,0.94,384081774.00,384081774.00
2021-09-27,0.94,0.98,0.92,0.92,350234819.00,350234819.00
2021-09-28,0.92,0.94,0.89,0.89,313521537.00,313521537.00
2021-09-29,0.89,0.99,0.89,0.93,459660796.00,459660796.00
2021-09-30,0.93,0.96,0.92,0.95,332911904.00,332911904.00
2021-10-01,0.95,1.07,0.94,1.04,644378881.00,644378881.00
2021-10-02,1.04,1.07,1.01,1.04,398398944.00,398398944.00
2021-10-03,1.04,1.09,1.02,1.06,410176280.00,410176280.00
2021-10-04,1.06,1.06,1.01,1.04,416467677.00,416467677.00
2021-10-05,1.04,1.09,1.04,1.08,429469278.00,429469278.00
2021-10-06,1.08,1.11,1.02,1.08,509214129.00,509214129.00
2021-10-07,1.08,1.09,1.04,1.07,410868906.00,410868906.00
2021-10-08,1.07,1.09,1.05,1.06,335486636.00,335486636.00
2021-10-09,1.06,1.21,1.06,1.16,678027224.72,678027224.72
2021-10-10,1.16,1.23,1.13,1.14,647048690.00,647048690.00
2021-10-11,1.14,1.18,1.10,1.14,429676031.00,429676031.00
2021-10-12,1.14,1.14,1.06,1.10,455399313.00,455399313.00
2021-10-13,1.10,1.14,1.07,1.13,403291632.00,403291632.00
2021-10-14,1.13,1.16,1.12,1.13,353714419.00,353714419.00
2021-10-15,1.13,1.17,1.09,1.14,573654581.00,573654581.00
2021-10-16,1.14,1.19,1.13,1.13,339530696.00,339530696.00
2021-10-17,1.13,1.14,1.02,1.09,384414867.00,384414867.00
2021-10-18,1.09,1.11,1.06,1.08,321174243.00,321174243.00
2021-10-19,1.08,1.10,1.07,1.09,235324664.00,235324664.00
2021-10-20,1.09,1.15,1.09,1.15,346122480.00,346122480.00
2021-10-21,1.15,1.16,1.09,1.09,442288500.00,442288500.00
2021-10-22,1.09,1.13,1.07,1.09,333619107.00,333619107.00
2021-10-23,1.09,1.10,1.08,1.09,189644449.00,189644449.00
2021-10-24,1.09,1.10,1.05,1.08,234286648.00,234286648.00
2021-10-25,1.08,1.10,1.08,1.10,218666074.00,218666074.00
2021-10-26,1.10,1.16,1.09,1.11,439499263.00,439499263.00
2021-10-27,1.11,1.12,0.95,0.99,914728059.00,914728059.00
2021-10-28,1.00,1.08,0.98,1.06,686113717.00,686113717.00
2021-10-29,1.06,1.09,1.04,1.08,357777322.00,357777322.00
2021-10-30,1.08,1.12,1.06,1.08,372223050.00,372223050.00
2021-10-31,1.08,1.15,1.07,1.11,659007943.00,659007943.00
2021-11-01,1.11,1.13,1.07,1.09,381430430.00,381430430.00
2021-11-02,1.09,1.15,1.09,1.13,398377412.00,398377412.00
2021-11-03,1.13,1.24,1.13,1.21,838803472.00,838803472.00
2021-11-04,1.21,1.26,1.16,1.20,553456246.00,553456246.00
2021-11-05,1.20,1.20,1.13,1.16,318649692.00,318649692.00
2021-11-06,1.16,1.18,1.10,1.15,260339849.00,260339849.00
2021-11-07,1.15,1.24,1.15,1.22,371235010.00,371235010.00
2021-11-08,1.22,1.30,1.22,1.28,606055941.00,606055941.00
2021-11-09,1.28,1.29,1.22,1.26,465127517.00,465127517.00
2021-11-10,1.26,1.35,1.12,1.19,932520826.00,932520826.00
2021-11-11,1.19,1.25,1.18,1.21,475284132.00,475284132.00
2021-11-12,1.21,1.23,1.15,1.19,446863355.00,446863355.00
2021-11-13,1.19,1.20,1.17,1.19,240083101.00,240083101.00
2021-11-14,1.19,1.20,1.17,1.19,192023307.00,192023307.00
2021-11-15,1.19,1.22,1.17,1.17,266793400.00,266793400.00
2021-11-16,1.17,1.17,1.04,1.09,599544174.00,599544174.00
2021-11-17,1.09,1.11,1.06,1.10,383487232.00,383487232.00
2021-11-18,1.10,1.17,1.01,1.04,698664651.00,698664651.00
2021-11-19,1.04,1.10,1.02,1.09,349087574.00,349087574.00
2021-11-20,1.09,1.10,1.06,1.10,251779916.00,251779916.00
2021-11-21,1.10,1.10,1.05,1.06,228064131.00,228064131.00
2021-11-22,1.06,1.07,1.03,1.04,307140428.00,307140428.00
2021-11-23,1.04,1.07,1.02,1.07,341407597.00,341407597.00
2021-11-24,1.07,1.07,1.01,1.03,344750680.00,344750680.00
2021-11-25,1.03,1.06,1.02,1.04,312211526.00,312211526.00
2021-11-26,1.04,1.05,0.91,0.94,659982617.00,659982617.00
2021-11-27,0.94,0.97,0.93,0.95,224846313.00,224846313.00
2021-11-28,0.95,0.97,0.88,0.97,336336729.00,336336729.00
2021-11-29,0.97,1.00,0.96,0.99,303393405.00,303393405.00
2021-11-30,0.99,1.03,0.97,1.00,340017409.00,340017409.00
2021-12-01,1.00,1.02,0.98,0.99,250291608.00,250291608.00
2021-12-02,0.99,0.99,0.95,0.97,213172250.00,213172250.00
2021-12-03,0.97,0.98,0.89,0.92,297172193.00,297172193.00
2021-12-04,0.92,0.92,0.60,0.84,1357965897.04,1357965897.04
2021-12-05,0.85,0.86,0.77,0.80,518767360.00,518767360.00
2021-12-06,0.80,0.83,0.75,0.83,508644255.00,508644255.00
2021-12-07,0.83,0.85,0.80,0.82,319504545.00,319504545.00
2021-12-08,0.82,0.88,0.80,0.86,415004580.00,415004580.00
2021-12-09,0.86,0.94,0.83,0.86,684730305.00,684730305.00
2021-12-10,0.86,0.88,0.79,0.80,496512579.00,496512579.00
2021-12-11,0.80,0.84,0.78,0.84,284945414.00,284945414.00
2021-12-12,0.84,0.86,0.81,0.84,224450903.00,224450903.00
2021-12-13,0.84,0.84,0.76,0.78,378446930.00,378446930.00
2021-12-14,0.78,0.82,0.77,0.81,352693472.00,352693472.00
2021-12-15,0.81,0.84,0.78,0.83,354116180.00,354116180.00
2021-12-16,0.83,0.84,0.80,0.81,206133176.00,206133176.00
2021-12-17,0.81,0.83,0.78,0.80,260108143.00,260108143.00
2021-12-18,0.80,0.83,0.79,0.83,170671362.00,170671362.00
2021-12-19,0.83,0.85,0.82,0.83,163876270.00,163876270.00
2021-12-20,0.83,0.92,0.82,0.88,555435824.00,555435824.00
2021-12-21,0.88,0.96,0.85,0.95,471318013.00,471318013.00
2021-12-22,0.95,0.97,0.92,0.95,401407051.00,401407051.00
2021-12-23,0.95,1.02,0.94,0.99,479436230.00,479436230.00
2021-12-24,0.99,1.00,0.90,0.91,567234092.00,567234092.00
2021-12-25,0.91,0.94,0.90,0.93,250074945.00,250074945.00
2021-12-26,0.93,0.93,0.91,0.92,163438501.00,163438501.00
2021-12-27,0.92,0.96,0.91,0.93,236282371.00,236282371.00
2021-12-28,0.93,0.93,0.85,0.85,321266081.00,321266081.00
2021-12-29,0.85,0.86,0.81,0.82,306520880.00,306520880.00
2021-12-30,0.82,0.86,0.80,0.84,262671659.00,262671659.00
2021-12-31,0.84,0.85,0.80,0.83,239829934.00,239829934.00
2022-01-01,0.83,0.86,0.83,0.85,136976730.00,136976730.00
2022-01-02,0.85,0.87,0.84,0.86,129688032.00,129688032.00
2022-01-03,0.86,0.86,0.82,0.83,178618617.00,178618617.00
2022-01-04,0.83,0.85,0.78,0.82,214415744.00,214415744.00
2022-01-05,0.82,0.84,0.71,0.77,370612510.00,370612510.00
2022-01-06,0.77,0.79,0.74,0.78,307202277.00,307202277.00
2022-01-07,0.78,0.78,0.73,0.76,372926762.00,372926762.00
2022-01-08,0.76,0.78,0.72,0.75,253028571.00,253028571.00
2022-01-09,0.75,0.77,0.74,0.75,151521399.00,151521399.00
2022-01-10,0.75,0.76,0.70,0.74,313080154.00,313080154.00
2022-01-11,0.74,0.78,0.73,0.77,254065075.00,254065075.00
2022-01-12,0.77,0.82,0.76,0.80,295701910.00,295701910.00
2022-01-13,0.80,0.80,0.76,0.77,227833834.00,227833834.00
2022-01-14,0.77,0.80,0.75,0.77,221104212.00,221104212.00
2022-01-15,0.77,0.79,0.77,0.78,138443019.00,138443019.00
2022-01-16,0.78,0.79,0.77,0.78,125068081.00,125068081.00
2022-01-17,0.78,0.78,0.75,0.76,181653025.00,181653025.00
2022-01-18,0.76,0.77,0.74,0.75,188367099.00,188367099.00
2022-01-19,0.75,0.75,0.72,0.74,190555142.00,190555142.00
2022-01-20,0.74,0.76,0.72,0.72,205931050.00,205931050.00
2022-01-21,0.72,0.73,0.61,0.64,612944841.00,612944841.00
2022-01-22,0.64,0.65,0.55,0.60,769947907.12,769947907.12
2022-01-23,0.60,0.64,0.59,0.63,331234207.00,331234207.00
2022-01-24,0.63,0.63,0.55,0.61,513343471.00,513343471.00
2022-01-25,0.61,0.62,0.59,0.62,319618429.00,319618429.00
2022-01-26,0.62,0.66,0.60,0.62,466864710.00,466864710.00
2022-01-27,0.62,0.62,0.59,0.61,292543906.00,292543906.00
2022-01-28,0.61,0.61,0.59,0.61,221009653.00,221009653.00
2022-01-29,0.61,0.63,0.61,0.62,154572094.00,154572094.00
2022-01-30,0.62,0.62,0.60,0.60,146491081.00,146491081.00
2022-01-31,0.60,0.62,0.58,0.62,213749309.00,213749309.00
2022-02-01,0.62,0.63,0.61,0.63,174300620.00,174300620.00
2022-02-02,0.63,0.63,0.60,0.60,186608762.00,186608762.00
2022-02-03,0.60,0.61,0.59,0.61,168129675.00,168129675.00
2022-02-04,0.61,0.66,0.60,0.66,263927174.00,263927174.00
2022-02-05,0.66,0.69,0.65,0.67,310296779.00,310296779.00
2022-02-06,0.67,0.69,0.66,0.68,157303166.00,157303166.00
2022-02-07,0.68,0.84,0.67,0.83,640917209.00,640917209.00
2022-02-08,0.83,0.91,0.80,0.88,1048879447.00,1048879447.00
2022-02-09,0.88,0.92,0.84,0.87,626331950.00,626331950.00
2022-02-10,0.87,0.90,0.82,0.83,495010890.00,495010890.00
2022-02-11,0.83,0.83,0.75,0.76,482432190.00,482432190.00
2022-02-12,0.76,0.85,0.75,0.82,477906804.00,477906804.00
2022-02-13,0.82,0.85,0.79,0.81,351589704.00,351589704.00
2022-02-14,0.81,0.81,0.78,0.80,304006647.00,304006647.00
2022-02-15,0.80,0.86,0.80,0.85,279317316.00,279317316.00
2022-02-16,0.85,0.85,0.81,0.84,252745706.00,252745706.00
2022-02-17,0.84,0.84,0.75,0.77,375190546.00,375190546.00
2022-02-18,0.77,0.81,0.76,0.78,417945743.00,417945743.00
2022-02-19,0.78,0.85,0.77,0.82,492929500.00,492929500.00
2022-02-20,0.82,0.82,0.76,0.78,495454770.00,495454770.00
2022-02-21,0.78,0.80,0.70,0.70,621650777.00,621650777.00
2022-02-22,0.70,0.73,0.67,0.72,597541290.00,597541290.00
2022-02-23,0.72,0.74,0.69,0.70,438023003.00,438023003.00
2022-02-24,0.70,0.72,0.62,0.70,986343826.00,986343826.00
2022-02-25,0.70,0.78,0.68,0.77,557343038.00,557343038.00
2022-02-26,0.77,0.80,0.74,0.75,520451349.00,520451349.00
2022-02-27,0.75,0.77,0.70,0.72,441252224.00,441252224.00
2022-02-28,0.72,0.79,0.71,0.78,444617964.00,444617964.00
2022-03-01,0.78,0.80,0.76,0.78,392126769.00,392126769.00
2022-03-02,0.78,0.78,0.76,0.77,377602100.00,377602100.00
2022-03-03,0.77,0.79,0.73,0.75,339295156.00,339295156.00
2022-03-04,0.75,0.76,0.69,0.71,382831997.00,382831997.00
2022-03-05,0.71,0.77,0.70,0.75,358200609.00,358200609.00
2022-03-06,0.75,0.76,0.72,0.73,304732286.00,304732286.00
2022-03-07,0.73,0.75,0.70,0.72,496407111.00,496407111.00
2022-03-08,0.72,0.73,0.71,0.72,293749434.00,293749434.00
2022-03-09,0.72,0.78,0.72,0.77,397032109.00,397032109.00
2022-03-10,0.77,0.78,0.72,0.74,397850898.00,397850898.00
2022-03-11,0.74,0.81,0.72,0.80,526984782.00,526984782.00
2022-03-12,0.80,0.85,0.78,0.79,589059126.00,589059126.00
2022-03-13,0.79,0.81,0.75,0.76,311279578.00,311279578.00
2022-03-14,0.76,0.78,0.74,0.77,326606464.00,326606464.00
2022-03-15,0.77,0.78,0.74,0.77,243756136.00,243756136.00
2022-03-16,0.77,0.79,0.76,0.79,350641035.00,350641035.00
2022-03-17,0.79,0.80,0.78,0.79,264101320.00,264101320.00
2022-03-18,0.79,0.80,0.78,0.80,222661984.00,222661984.00
2022-03-19,0.80,0.83,0.79,0.82,248947590.00,248947590.00
2022-03-20,0.82,0.82,0.80,0.81,185090508.00,185090508.00
2022-03-21,0.81,0.85,0.79,0.84,316427663.00,316427663.00
2022-03-22,0.84,0.87,0.83,0.84,305184306.00,305184306.00
2022-03-23,0.84,0.85,0.82,0.84,235024475.00,235024475.00
2022-03-24,0.84,0.85,0.83,0.84,282122073.00,282122073.00
2022-03-25,0.84,0.85,0.82,0.82,214450998.00,214450998.00
2022-03-26,0.82,0.83,0.82,0.83,122433652.00,122433652.00
2022-03-27,0.83,0.86,0.83,0.86,198619688.00,198619688.00
2022-03-28,0.86,0.93,0.85,0.86,479199201.00,479199201.00
2022-03-29,0.86,0.89,0.84,0.86,264756291.00,264756291.00
2022-03-30,0.86,0.87,0.85,0.86,201046259.00,201046259.00
2022-03-31,0.86,0.87,0.78,0.81,366939277.00,366939277.00
2022-04-01,0.81,0.83,0.81,0.83,254001232.00,254001232.00
2022-04-02,0.83,0.85,0.82,0.82,210041825.00,210041825.00
2022-04-03,0.82,0.85,0.81,0.84,159520162.00,159520162.00
2022-04-04,0.84,0.84,0.80,0.83,216740017.00,216740017.00
2022-04-05,0.83,0.84,0.81,0.82,174779509.00,174779509.00
2022-04-06,0.82,0.82,0.76,0.76,348686323.00,348686323.00
2022-04-07,0.76,0.79,0.75,0.79,196211648.00,196211648.00
2022-04-08,0.79,0.79,0.75,0.75,210639194.00,210639194.00
2022-04-09,0.76,0.77,0.75,0.76,102131244.00,102131244.00
2022-04-10,0.76,0.77,0.75,0.75,123028708.00,123028708.00
2022-04-11,0.75,0.76,0.68,0.69,354459252.00,354459252.00
2022-04-12,0.69,0.73,0.69,0.72,263088987.00,263088987.00
2022-04-13,0.72,0.73,0.70,0.72,217937566.00,217937566.00
2022-04-14,0.72,0.74,0.71,0.73,239629937.00,239629937.00
2022-04-15,0.73,0.80,0.73,0.79,439676502.00,439676502.00
2022-04-16,0.79,0.80,0.77,0.78,206493032.00,206493032.00
2022-04-17,0.78,0.79,0.75,0.75,188468510.00,188468510.00
2022-04-18,0.75,0.77,0.73,0.77,257757252.00,257757252.00
2022-04-19,0.77,0.79,0.76,0.77,199132020.00,199132020.00
2022-04-20,0.77,0.78,0.74,0.75,220246970.00,220246970.00
2022-04-21,0.75,0.77,0.72,0.73,241310449.00,241310449.00
2022-04-22,0.73,0.74,0.71,0.72,220757625.00,220757625.00
2022-04-23,0.72,0.73,0.70,0.71,163036743.00,163036743.00
2022-04-24,0.71,0.71,0.69,0.70,144945400.00,144945400.00
2022-04-25,0.70,0.70,0.65,0.69,399434752.00,399434752.00
2022-04-26,0.69,0.71,0.63,0.64,355964613.00,355964613.00
