,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2021-06-12,2354.09,2454.53,2256.22,2370.74,767439.5,767439.5,16.649999999999636
2021-06-13,2370.64,2548.41,2308.41,2509.33,715948.76,715948.76,138.69000000000005
2021-06-14,2509.33,2609.17,2461.0,2580.77,684183.56,684183.56,71.44000000000005
2021-06-15,2580.58,2640.0,2507.7,2543.54,599826.65,599826.65,-37.039999999999964
2021-06-16,2543.55,2556.19,2351.18,2367.89,624741.78,624741.78,-175.6600000000003
2021-06-17,2368.02,2460.5,2306.0,2373.28,560667.59,560667.59,5.260000000000218
2021-06-18,2373.28,2378.0,2139.0,2234.09,778905.2,778905.2,-139.19000000000005
2021-06-19,2234.09,2278.82,2161.67,2164.67,496872.25,496872.25,-69.42000000000007
2021-06-20,2165.34,2280.01,2040.68,2243.47,743883.65,743883.65,78.12999999999965
2021-06-21,2243.49,2260.16,1865.54,1885.49,1629819.67,1629819.67,-357.9999999999998
2021-06-22,1885.27,1998.0,1700.48,1879.28,1695338.08,1695338.08,-5.990000000000009
2021-06-23,1879.29,2045.0,1821.95,1968.14,918612.3,918612.3,88.85000000000014
2021-06-24,1967.95,2036.61,1884.79,1989.52,701231.67,701231.67,21.569999999999936
2021-06-25,1989.53,2019.99,1791.22,1808.82,858808.55,858808.55,-180.71000000000004
2021-06-26,1808.97,1852.8,1717.32,1829.64,832315.15,832315.15,20.670000000000073
2021-06-27,1829.84,1984.5,1804.26,1982.28,696055.79,696055.79,152.44000000000005
2021-06-28,1982.27,2145.0,1960.52,2084.41,1044244.68,1044244.68,102.13999999999987
2021-06-29,2084.42,2245.0,2073.57,2165.33,831257.23,831257.23,80.90999999999985
2021-06-30,2165.46,2287.78,2087.99,2275.68,910583.6,910583.6,110.2199999999998
2021-07-01,2275.68,2275.93,2073.12,2106.41,787865.25,787865.25,-169.26999999999998
2021-07-02,2106.41,2160.0,2018.5,2154.13,672282.37,672282.37,47.720000000000255
2021-07-03,2153.95,2240.0,2112.01,2226.99,569264.8,569264.8,73.03999999999996
2021-07-04,2226.99,2389.93,2189.58,2322.69,590656.25,590656.25,95.70000000000027
2021-07-05,2322.69,2324.64,2157.32,2196.53,781806.32,781806.32,-126.15999999999985
2021-07-06,2196.85,2350.0,2193.0,2322.5,785330.17,785330.17,125.65000000000009
2021-07-07,2322.51,2409.0,2291.9,2316.57,666501.36,666501.36,-5.940000000000055
2021-07-08,2316.25,2325.6,2084.79,2116.33,880265.04,880265.04,-199.92000000000007
2021-07-09,2116.32,2189.4,2046.51,2146.99,738611.36,738611.36,30.669999999999618
2021-07-10,2146.99,2194.82,2074.16,2110.69,499071.86,499071.86,-36.29999999999973
2021-07-11,2110.68,2174.0,2081.02,2140.45,342294.4,342294.4,29.769999999999982
2021-07-12,2140.54,2167.83,2006.68,2031.58,540630.11,540630.11,-108.96000000000004
2021-07-13,2031.57,2047.35,1918.0,1940.15,647388.25,647388.25,-91.41999999999985
2021-07-14,1940.44,2019.18,1865.0,1994.58,690505.61,690505.61,54.13999999999987
2021-07-15,1994.41,2042.88,1881.0,1919.51,645271.33,645271.33,-74.90000000000009
2021-07-16,1919.54,1965.0,1850.0,1876.26,577068.9,577068.9,-43.27999999999997
2021-07-17,1876.47,1919.19,1844.45,1899.59,430300.52,430300.52,23.11999999999989
2021-07-18,1899.5,1993.79,1877.1,1891.64,534837.64,534837.64,-7.8599999999999
2021-07-19,1891.65,1919.0,1805.0,1818.73,547419.94,547419.94,-72.92000000000007
2021-07-20,1818.73,1841.34,1706.0,1786.03,786257.27,786257.27,-32.700000000000045
2021-07-21,1786.03,2035.23,1747.55,1995.5,1115949.82,1115949.82,209.47000000000003
2021-07-22,1995.5,2046.0,1947.62,2024.56,768854.37,768854.37,29.059999999999945
2021-07-23,2024.27,2130.9,1993.22,2124.25,708160.91,708160.91,99.98000000000002
2021-07-24,2124.26,2199.5,2105.58,2184.75,633075.19,633075.19,60.48999999999978
2021-07-25,2184.9,2197.41,2105.93,2189.79,535630.27,535630.27,4.889999999999873
2021-07-26,2189.82,2433.65,2171.57,2228.08,1393738.16,1393738.16,38.25999999999976
2021-07-27,2227.81,2319.26,2150.5,2299.49,906359.23,906359.23,71.67999999999984
2021-07-28,2299.47,2345.0,2243.15,2300.9,718202.58,718202.58,1.430000000000291
2021-07-29,2300.9,2400.0,2266.12,2382.92,499364.83,499364.83,82.01999999999998
2021-07-30,2382.93,2471.7,2315.92,2461.81,762577.29,762577.29,78.88000000000011
2021-07-31,2461.77,2553.86,2420.68,2531.05,507601.05,507601.05,69.2800000000002
2021-08-01,2531.1,2697.61,2511.24,2555.69,853495.94,853495.94,24.590000000000146
2021-08-02,2555.5,2666.0,2507.0,2606.93,726701.85,726701.85,51.429999999999836
2021-08-03,2606.92,2632.44,2442.32,2509.04,792960.84,792960.84,-97.88000000000011
2021-08-04,2508.51,2772.71,2457.68,2724.78,954590.75,954590.75,216.26999999999998
2021-08-05,2724.55,2843.98,2529.91,2826.99,1307720.21,1307720.21,102.4399999999996
2021-08-06,2827.01,2946.75,2720.06,2891.58,825399.49,825399.49,64.56999999999971
