,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2021-06-11,168.18,173.78,160.55,162.83,928611.54,928611.54
2021-06-12,162.84,164.30,154.14,161.80,653167.31,653167.31
2021-06-13,161.81,171.59,156.42,170.85,573493.91,573493.91
2021-06-14,170.85,179.99,166.34,179.89,802051.96,802051.96
2021-06-15,179.88,181.20,172.15,175.15,654352.05,654352.05
2021-06-16,175.16,177.31,164.23,166.57,761479.45,761479.45
2021-06-17,166.56,173.40,162.81,167.08,559434.62,559434.62
2021-06-18,167.13,167.43,151.20,156.34,800699.30,800699.30
2021-06-19,156.33,160.88,152.31,152.49,523073.02,523073.02
2021-06-20,152.51,156.18,143.75,154.88,611253.38,611253.38
2021-06-21,154.87,155.50,123.91,124.46,1492819.38,1492819.38
2021-06-22,124.38,133.03,104.92,119.64,2255757.11,2255757.11
2021-06-23,119.69,133.75,115.49,129.10,1020444.64,1020444.64
2021-06-24,129.13,137.36,123.71,134.58,660335.54,660335.54
2021-06-25,134.59,138.45,124.31,125.00,764515.34,764515.34
2021-06-26,125.03,129.44,118.67,126.89,871924.09,871924.09
2021-06-27,126.81,132.67,124.66,132.60,573388.25,573388.25
2021-06-28,132.57,139.55,129.89,137.69,703645.47,703645.47
2021-06-29,137.68,149.18,137.24,144.20,898148.70,898148.70
2021-06-30,144.23,146.94,136.01,144.26,629619.42,629619.42
2021-07-01,144.31,144.31,133.99,137.02,539535.30,539535.30
2021-07-02,137.01,138.97,130.60,136.85,467041.15,467041.15
2021-07-03,136.87,141.37,134.57,140.17,351451.50,351451.50
2021-07-04,140.19,148.10,136.88,144.95,443949.92,443949.92
2021-07-05,144.96,145.03,133.84,137.71,561680.85,561680.85
2021-07-06,137.76,142.73,135.60,138.87,530800.53,530800.53
2021-07-07,138.86,142.93,136.87,137.41,520913.20,520913.20
2021-07-08,137.38,137.74,127.77,132.15,645442.57,645442.57
2021-07-09,132.11,135.85,126.00,134.58,527547.82,527547.82
2021-07-10,134.54,136.82,130.32,133.99,365844.87,365844.87
2021-07-11,133.99,136.48,132.08,134.28,324968.57,324968.57
2021-07-12,134.28,139.75,131.82,133.38,670917.62,670917.62
2021-07-13,133.32,134.61,129.35,131.44,454856.67,454856.67
2021-07-14,131.45,132.42,123.59,131.07,538916.44,538916.44
2021-07-15,131.06,133.13,121.93,125.86,494375.72,494375.72
2021-07-16,125.88,127.87,120.38,120.65,422183.02,422183.02
2021-07-17,120.66,122.92,117.68,119.95,425298.69,425298.69
2021-07-18,120.00,124.05,116.23,119.17,430985.21,430985.21
2021-07-19,119.16,120.75,111.82,113.13,493082.96,493082.96
2021-07-20,113.14,115.09,103.83,107.29,766236.25,766236.25
2021-07-21,107.31,119.24,105.05,117.74,682039.47,682039.47
2021-07-22,117.77,122.00,115.61,120.67,464759.47,464759.47
2021-07-23,120.69,124.78,117.02,124.24,404160.07,404160.07
2021-07-24,124.27,127.70,123.29,125.99,432891.78,432891.78
2021-07-25,126.00,127.99,123.51,127.68,392963.87,392963.87
2021-07-26,127.64,140.47,126.85,131.06,1052092.77,1052092.77
2021-07-27,131.06,135.12,127.27,134.74,607384.02,607384.02
2021-07-28,134.73,142.00,132.39,140.42,729936.13,729936.13
2021-07-29,140.48,143.00,136.55,141.44,542641.00,542641.00
2021-07-30,141.44,145.88,135.86,145.51,605847.24,605847.24
2021-07-31,145.51,146.60,141.83,144.37,388737.62,388737.62
2021-08-01,144.35,149.78,138.04,140.31,584699.77,584699.77
2021-08-02,140.31,145.93,138.76,141.35,419849.68,419849.68
2021-08-03,141.32,143.24,135.60,138.49,402821.08,402821.08
2021-08-04,138.49,144.50,135.54,142.57,486488.33,486488.33
2021-08-05,142.57,145.19,136.12,143.53,615027.39,615027.39
2021-08-06,143.51,150.90,141.73,147.95,685973.68,685973.68
2021-08-07,147.93,156.39,147.06,155.92,878574.54,878574.54
2021-08-08,155.92,157.63,147.00,149.69,700140.24,700140.24
2021-08-09,149.69,170.78,145.15,166.31,1165618.32,1165618.32
2021-08-10,166.27,168.28,158.79,165.38,894686.74,894686.74
2021-08-11,165.38,176.07,164.23,170.60,914647.02,914647.02
2021-08-12,170.57,179.74,160.77,165.38,987267.21,987267.21
2021-08-13,165.41,184.57,164.00,183.31,1122682.77,1122682.77
2021-08-14,183.32,185.11,174.62,182.76,944596.30,944596.30
2021-08-15,182.78,186.55,175.18,184.60,948648.91,948648.91
2021-08-16,184.59,189.03,176.35,177.93,898330.42,898330.42
2021-08-17,177.96,184.38,168.01,168.61,781038.75,781038.75
2021-08-18,168.60,174.54,162.92,166.65,694819.54,694819.54
2021-08-19,166.64,175.82,162.66,175.59,682216.29,682216.29
2021-08-20,175.57,184.11,174.11,183.59,708140.15,708140.15
2021-08-21,183.59,184.48,176.52,179.63,644225.30,644225.30
2021-08-22,179.57,189.60,178.38,185.91,935874.98,935874.98
2021-08-23,185.85,191.94,183.61,187.01,877311.28,877311.28
2021-08-24,186.98,188.64,172.25,173.42,780692.69,780692.69
2021-08-25,173.39,179.00,169.06,177.75,617983.08,617983.08
2021-08-26,177.76,180.18,164.90,167.70,568905.75,568905.75
2021-08-27,167.70,176.35,165.00,176.20,456121.03,456121.03
2021-08-28,176.20,177.10,171.30,175.60,316185.27,316185.27
2021-08-29,175.70,182.60,173.10,174.30,547343.59,547343.59
2021-08-30,174.40,176.50,166.50,167.30,468119.40,468119.40
2021-08-31,167.40,175.40,165.60,171.50,553621.01,553621.01
2021-09-01,171.60,182.80,168.50,180.90,692302.29,692302.29
2021-09-02,180.90,187.90,179.40,183.30,683639.85,683639.85
2021-09-03,183.40,217.70,179.80,212.90,2071663.63,2071663.63
2021-09-04,212.90,225.20,208.40,211.90,1448417.53,1448417.53
2021-09-05,212.00,232.56,210.50,232.20,1007949.98,1007949.98
2021-09-06,232.20,232.30,214.80,219.40,1001710.49,1001710.49
2021-09-07,219.40,221.90,162.10,178.50,2026882.59,2026882.59
2021-09-08,178.40,189.00,169.30,179.70,1419232.64,1419232.64
2021-09-09,179.70,188.60,176.50,180.50,896655.72,896655.72
2021-09-10,180.50,187.40,170.70,174.10,721100.84,721100.84
2021-09-11,174.10,186.20,173.40,178.60,551963.07,551963.07
2021-09-12,178.60,186.20,175.10,183.00,564714.70,564714.70
2021-09-13,183.10,240.00,170.70,179.40,5437062.67,5437062.67
2021-09-14,179.40,189.00,176.10,183.10,1091280.00,1091280.00
2021-09-15,183.00,192.10,179.60,189.00,745508.06,745508.06
2021-09-16,189.10,195.40,181.50,185.20,935286.23,935286.23
2021-09-17,185.20,190.50,177.50,180.00,566767.07,566767.07
2021-09-18,180.00,185.80,177.90,181.40,372409.22,372409.22
2021-09-19,181.30,181.70,172.50,175.60,364865.78,364865.78
2021-09-20,175.60,176.00,153.30,157.20,1300459.68,1300459.68
2021-09-21,157.20,162.30,144.70,148.50,988169.63,988169.63
2021-09-22,148.60,161.80,145.30,161.40,822665.57,822665.57
2021-09-23,161.40,165.00,157.10,163.90,559513.52,559513.52
2021-09-24,163.90,166.60,141.60,152.10,1236046.28,1236046.28
2021-09-25,152.00,155.90,148.80,151.00,622457.08,622457.08
2021-09-26,150.90,153.40,141.90,150.70,837958.06,837958.06
2021-09-27,150.70,154.90,144.80,145.00,463173.19,463173.19
2021-09-28,145.00,149.00,140.00,140.60,551914.77,551914.77
2021-09-29,140.50,150.40,139.70,144.70,505249.16,505249.16
2021-09-30,144.80,154.50,143.90,153.30,505878.24,505878.24
2021-10-01,153.20,168.10,151.10,166.20,701432.92,701432.92
2021-10-02,166.10,172.80,164.40,168.90,427845.77,427845.77
2021-10-03,168.90,175.00,165.70,170.50,437060.79,437060.79
