,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2021-06-12,21.85,22.06,20.24,21.3,2201492.91,2201492.91,-0.5500000000000007
2021-06-13,21.28,24.0,20.45,23.25,2282231.76,2282231.76,1.9699999999999989
2021-06-14,23.25,24.21,22.49,24.16,2206791.98,2206791.98,0.9100000000000001
2021-06-15,24.16,24.69,23.12,23.42,1506402.33,1506402.33,-0.7399999999999984
2021-06-16,23.42,23.55,21.64,21.83,1687477.96,1687477.96,-1.5900000000000034
2021-06-17,21.83,22.94,21.4,22.18,1443998.15,1443998.15,0.3500000000000014
2021-06-18,22.18,22.27,19.55,20.39,2187107.79,2187107.79,-1.7899999999999991
2021-06-19,20.4,20.98,19.75,19.76,1744280.98,1744280.98,-0.639999999999997
2021-06-20,19.76,21.02,18.62,20.7,2410717.38,2410717.38,0.9399999999999977
2021-06-21,20.7,20.87,15.74,15.77,4733664.6,4733664.6,-4.93
2021-06-22,15.79,17.2,13.93,16.42,6573754.01,6573754.01,0.6300000000000026
2021-06-23,16.41,18.49,15.77,17.8,3802110.64,3802110.64,1.3900000000000006
2021-06-24,17.8,18.6,16.61,18.05,2840757.25,2840757.25,0.25
2021-06-25,18.05,18.35,15.7,15.82,3191117.77,3191117.77,-2.2300000000000004
2021-06-26,15.82,16.47,15.1,16.12,2113043.45,2113043.45,0.3000000000000007
2021-06-27,16.12,17.1,15.62,17.1,1849690.82,1849690.82,0.9800000000000004
2021-06-28,17.08,18.15,16.87,17.73,2122095.86,2122095.86,0.6500000000000021
2021-06-29,17.73,19.19,17.66,18.65,2732626.33,2732626.33,0.9199999999999982
2021-06-30,18.64,19.3,17.15,19.28,2596846.28,2596846.28,0.6400000000000006
2021-07-01,19.28,19.29,17.54,17.78,2155310.32,2155310.32,-1.5
2021-07-02,17.78,18.26,16.94,18.21,1673825.91,1673825.91,0.4299999999999997
2021-07-03,18.22,19.56,17.79,19.47,1969946.1,1969946.1,1.25
2021-07-04,19.47,21.5,18.93,20.76,3396421.14,3396421.14,1.2900000000000027
2021-07-05,20.75,20.91,19.07,20.06,3729063.07,3729063.07,-0.6900000000000013
2021-07-06,20.06,23.23,20.03,22.38,5911864.44,5911864.44,2.3200000000000003
2021-07-07,22.37,23.46,21.65,22.25,3088190.07,3088190.07,-0.120000000000001
2021-07-08,22.25,22.31,19.91,20.35,3124268.55,3124268.55,-1.8999999999999986
2021-07-09,20.34,21.69,19.78,20.99,2534220.37,2534220.37,0.6499999999999986
2021-07-10,20.98,21.52,19.95,20.24,1405443.52,1405443.52,-0.740000000000002
2021-07-11,20.25,20.95,19.98,20.7,1315491.27,1315491.27,0.4499999999999993
2021-07-12,20.7,21.45,19.2,19.53,1844838.19,1844838.19,-1.1699999999999982
2021-07-13,19.53,19.74,18.17,18.47,2357239.53,2357239.53,-1.0600000000000023
2021-07-14,18.46,18.54,16.72,17.89,4782786.98,4782786.98,-0.5700000000000003
2021-07-15,17.89,18.39,16.8,17.07,3278504.79,3278504.79,-0.8200000000000003
2021-07-16,17.07,17.6,15.92,16.34,2512504.07,2512504.07,-0.7300000000000004
2021-07-17,16.35,16.74,15.93,16.1,2244463.84,2244463.84,-0.25
2021-07-18,16.11,17.17,16.02,16.3,2646507.71,2646507.71,0.19000000000000128
2021-07-19,16.31,16.79,15.4,15.74,3004534.04,3004534.04,-0.5699999999999985
2021-07-20,15.73,15.97,14.39,14.55,3276914.08,3276914.08,-1.1799999999999997
2021-07-21,14.57,16.88,14.01,16.73,3689271.24,3689271.24,2.16
2021-07-22,16.73,17.62,16.07,17.58,2957017.84,2957017.84,0.8499999999999979
2021-07-23,17.57,18.69,16.93,18.6,2570278.5,2570278.5,1.0300000000000011
2021-07-24,18.6,18.94,18.03,18.24,2296503.76,2296503.76,-0.360000000000003
