,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2021-06-12,0.85,0.85,0.81,0.83,375425465.13,375425465.13,-0.020000000000000018
2021-06-13,0.83,0.89,0.82,0.88,344882480.06,344882480.06,0.050000000000000044
2021-06-14,0.88,0.93,0.86,0.89,441724628.58,441724628.58,0.010000000000000009
2021-06-15,0.89,0.9,0.86,0.87,367733719.97,367733719.97,-0.020000000000000018
2021-06-16,0.87,0.87,0.83,0.83,380134518.73,380134518.73,-0.040000000000000036
2021-06-17,0.83,0.86,0.82,0.84,315642616.21,315642616.21,0.010000000000000009
2021-06-18,0.84,0.84,0.77,0.8,389494745.89,389494745.89,-0.039999999999999925
2021-06-19,0.8,0.81,0.76,0.76,317290687.13,317290687.13,-0.040000000000000036
2021-06-20,0.76,0.79,0.7,0.77,589364804.52,589364804.52,0.010000000000000009
2021-06-21,0.77,0.78,0.6,0.61,1073284195.87,1073284195.87,-0.16000000000000003
2021-06-22,0.61,0.65,0.51,0.55,1611548012.73,1611548012.73,-0.05999999999999994
2021-06-23,0.55,0.67,0.52,0.64,1167774271.66,1167774271.66,0.08999999999999997
2021-06-24,0.64,0.69,0.62,0.67,633338243.16,633338243.16,0.030000000000000027
2021-06-25,0.67,0.69,0.6,0.61,795450033.45,795450033.45,-0.06000000000000005
2021-06-26,0.61,0.63,0.58,0.62,548990505.59,548990505.59,0.010000000000000009
2021-06-27,0.62,0.65,0.6,0.65,472483880.77,472483880.77,0.030000000000000027
2021-06-28,0.65,0.66,0.62,0.64,460033268.3,460033268.3,-0.010000000000000009
2021-06-29,0.64,0.73,0.64,0.71,718445315.27,718445315.27,0.06999999999999995
2021-06-30,0.71,0.71,0.65,0.71,634287485.15,634287485.15,0.0
2021-07-01,0.71,0.71,0.64,0.66,463328799.28,463328799.28,-0.04999999999999993
2021-07-02,0.66,0.67,0.63,0.66,387562387.59,387562387.59,0.0
2021-07-03,0.66,0.68,0.64,0.67,329367273.74,329367273.74,0.010000000000000009
2021-07-04,0.67,0.71,0.67,0.7,334071078.78,334071078.78,0.029999999999999916
2021-07-05,0.7,0.7,0.64,0.65,407839477.88,407839477.88,-0.04999999999999993
2021-07-06,0.65,0.68,0.65,0.66,356111895.89,356111895.89,0.010000000000000009
2021-07-07,0.66,0.67,0.65,0.65,284356433.42,284356433.42,-0.010000000000000009
2021-07-08,0.65,0.65,0.61,0.62,430925669.18,430925669.18,-0.030000000000000027
2021-07-09,0.62,0.65,0.59,0.64,358836803.69,358836803.69,0.020000000000000018
2021-07-10,0.64,0.65,0.61,0.62,279711260.06,279711260.06,-0.020000000000000018
2021-07-11,0.62,0.64,0.62,0.64,201320995.42,201320995.42,0.020000000000000018
2021-07-12,0.64,0.66,0.62,0.63,356848391.96,356848391.96,-0.010000000000000009
2021-07-13,0.63,0.64,0.61,0.62,315648113.8,315648113.8,-0.010000000000000009
2021-07-14,0.62,0.62,0.59,0.62,352306488.76,352306488.76,0.0
2021-07-15,0.62,0.63,0.59,0.6,339655984.05,339655984.05,-0.020000000000000018
2021-07-16,0.6,0.62,0.59,0.59,282511701.89,282511701.89,-0.010000000000000009
2021-07-17,0.59,0.6,0.56,0.58,263418042.14,263418042.14,-0.010000000000000009
2021-07-18,0.58,0.6,0.57,0.59,241849135.65,241849135.65,0.010000000000000009
2021-07-19,0.59,0.59,0.55,0.56,294780945.07,294780945.07,-0.029999999999999916
2021-07-20,0.56,0.57,0.52,0.53,393704657.61,393704657.61,-0.030000000000000027
2021-07-21,0.53,0.58,0.52,0.57,493423679.61,493423679.61,0.039999999999999925
2021-07-22,0.57,0.6,0.56,0.59,409238764.36,409238764.36,0.020000000000000018
2021-07-23,0.59,0.61,0.58,0.61,359561806.43,359561806.43,0.020000000000000018
2021-07-24,0.61,0.62,0.6,0.61,319684922.3,319684922.3,0.0
2021-07-25,0.61,0.61,0.59,0.61,259034501.15,259034501.15,0.0
2021-07-26,0.61,0.68,0.6,0.62,803413949.18,803413949.18,0.010000000000000009
2021-07-27,0.62,0.65,0.61,0.65,427078091.95,427078091.95,0.030000000000000027
2021-07-28,0.65,0.75,0.63,0.73,1172622702.04,1172622702.04,0.07999999999999996
2021-07-29,0.73,0.77,0.7,0.75,513356476.87,513356476.87,0.020000000000000018
2021-07-30,0.75,0.77,0.71,0.75,604445794.9,604445794.9,0.0
2021-07-31,0.75,0.76,0.74,0.75,377281828.25,377281828.25,0.0
2021-08-01,0.75,0.78,0.7,0.72,469477766.36,469477766.36,-0.030000000000000027
2021-08-02,0.72,0.77,0.71,0.74,410656081.94,410656081.94,0.020000000000000018
2021-08-03,0.74,0.74,0.7,0.71,398158150.61,398158150.61,-0.030000000000000027
2021-08-04,0.71,0.74,0.7,0.73,330543019.03,330543019.03,0.020000000000000018
2021-08-05,0.73,0.74,0.7,0.73,331894003.59,331894003.59,0.0
2021-08-06,0.73,0.75,0.72,0.75,304988991.92,304988991.92,0.020000000000000018
2021-08-07,0.75,0.82,0.74,0.82,589624594.72,589624594.72,0.06999999999999995
2021-08-08,0.82,0.84,0.77,0.78,556138875.77,556138875.77,-0.039999999999999925
2021-08-09,0.78,0.83,0.76,0.82,474908832.08,474908832.08,0.039999999999999925
2021-08-10,0.82,0.86,0.8,0.85,503252613.21,503252613.21,0.030000000000000027
2021-08-11,0.85,1.09,0.85,1.01,1131344973.99,1131344973.99,0.16000000000000003
2021-08-12,1.01,1.04,0.92,0.97,990869466.08,990869466.08,-0.040000000000000036
2021-08-13,0.97,1.1,0.95,1.09,674407528.31,674407528.31,0.1200000000000001
2021-08-14,1.09,1.31,1.07,1.28,1408060485.32,1408060485.32,0.18999999999999995
2021-08-15,1.28,1.35,1.23,1.28,1155282513.71,1155282513.71,0.0
2021-08-16,1.28,1.33,1.14,1.19,912003805.45,912003805.45,-0.09000000000000008
2021-08-17,1.19,1.25,1.08,1.1,893360572.36,893360572.36,-0.08999999999999986
2021-08-18,1.1,1.2,1.05,1.14,870414538.26,870414538.26,0.039999999999999813
2021-08-19,1.14,1.24,1.09,1.23,723276976.29,723276976.29,0.09000000000000008
2021-08-20,1.23,1.29,1.2,1.26,594584554.01,594584554.01,0.030000000000000027
2021-08-21,1.26,1.28,1.2,1.22,394160040.58,394160040.58,-0.040000000000000036
2021-08-22,1.22,1.26,1.18,1.23,360176161.72,360176161.72,0.010000000000000009
2021-08-23,1.23,1.3,1.2,1.25,661403795.74,661403795.74,0.020000000000000018
2021-08-24,1.25,1.27,1.12,1.14,637760055.93,637760055.93,-0.1100000000000001
2021-08-25,1.14,1.18,1.11,1.17,530858362.99,530858362.99,0.030000000000000027
2021-08-26,1.17,1.19,1.06,1.07,569965192.92,569965192.92,-0.09999999999999987
2021-08-27,1.07,1.19,1.05,1.19,565739468.35,565739468.35,0.11999999999999988
2021-08-28,1.19,1.2,1.13,1.15,314618250.83,314618250.83,-0.040000000000000036
2021-08-29,1.15,1.17,1.11,1.14,313294895.0,313294895.0,-0.010000000000000009
2021-08-30,1.14,1.15,1.09,1.1,364996870.0,364996870.0,-0.039999999999999813
2021-08-31,1.1,1.24,1.09,1.19,709823003.3,709823003.3,0.08999999999999986
2021-09-01,1.19,1.24,1.16,1.24,469917987.0,469917987.0,0.050000000000000044
2021-09-02,1.24,1.29,1.22,1.25,501596506.82,501596506.82,0.010000000000000009
2021-09-03,1.25,1.32,1.22,1.29,526413570.07,526413570.07,0.040000000000000036
2021-09-04,1.29,1.3,1.24,1.25,355870711.0,355870711.0,-0.040000000000000036
2021-09-05,1.25,1.31,1.24,1.31,335187953.0,335187953.0,0.06000000000000005
2021-09-06,1.31,1.42,1.31,1.39,710855257.92,710855257.92,0.07999999999999985
2021-09-07,1.39,1.39,0.95,1.13,1297978123.89,1297978123.89,-0.26
2021-09-08,1.13,1.15,1.01,1.1,794455994.0,794455994.0,-0.029999999999999805
2021-09-09,1.1,1.14,1.06,1.09,604426508.0,604426508.0,-0.010000000000000009
2021-09-10,1.09,1.25,1.03,1.06,901671116.0,901671116.0,-0.030000000000000027
2021-09-11,1.06,1.12,1.05,1.08,336502704.0,336502704.0,0.020000000000000018
2021-09-12,1.08,1.13,1.06,1.12,324049191.0,324049191.0,0.040000000000000036
2021-09-13,1.12,1.13,1.02,1.06,510682363.0,510682363.0,-0.06000000000000005
2021-09-14,1.06,1.1,1.06,1.1,275908113.0,275908113.0,0.040000000000000036
2021-09-15,1.1,1.13,1.08,1.12,289063987.0,289063987.0,0.020000000000000018
2021-09-16,1.12,1.13,1.07,1.09,302954441.0,302954441.0,-0.030000000000000027
2021-09-17,1.09,1.1,1.05,1.07,297933223.0,297933223.0,-0.020000000000000018
2021-09-18,1.07,1.1,1.06,1.08,195352031.0,195352031.0,0.010000000000000009
2021-09-19,1.08,1.08,1.04,1.05,211015299.0,211015299.0,-0.030000000000000027
2021-09-20,1.05,1.05,0.87,0.92,837287959.74,837287959.74,-0.13
2021-09-21,0.92,0.96,0.86,0.87,632313366.81,632313366.81,-0.050000000000000044
2021-09-22,0.87,1.01,0.87,1.0,606417695.0,606417695.0,0.13
2021-09-23,1.0,1.02,0.97,1.0,409673892.0,409673892.0,0.0
2021-09-24,1.0,1.0,0.89,0.94,605329486.0,605329486.0,-0.06000000000000005
2021-09-25,0.94,0.96,0.92,0.94,347043937.0,347043937.0,0.0
2021-09-26,0.94,0.96,0.89,0.94,384081774.0,384081774.0,0.0
2021-09-27,0.94,0.98,0.92,0.92,350234819.0,350234819.0,-0.019999999999999907
2021-09-28,0.92,0.94,0.89,0.89,313521537.0,313521537.0,-0.030000000000000027
2021-09-29,0.89,0.99,0.89,0.93,459660796.0,459660796.0,0.040000000000000036
2021-09-30,0.93,0.96,0.92,0.95,332911904.0,332911904.0,0.019999999999999907
2021-10-01,0.95,1.07,0.94,1.04,644378881.0,644378881.0,0.09000000000000008
2021-10-02,1.04,1.07,1.01,1.04,398398944.0,398398944.0,0.0
2021-10-03,1.04,1.09,1.02,1.06,410176280.0,410176280.0,0.020000000000000018
2021-10-04,1.06,1.06,1.01,1.04,416467677.0,416467677.0,-0.020000000000000018
2021-10-05,1.04,1.09,1.04,1.08,429469278.0,429469278.0,0.040000000000000036
2021-10-06,1.08,1.11,1.02,1.08,509214129.0,509214129.0,0.0
2021-10-07,1.08,1.09,1.04,1.07,410868906.0,410868906.0,-0.010000000000000009
2021-10-08,1.07,1.09,1.05,1.06,335486636.0,335486636.0,-0.010000000000000009
2021-10-09,1.06,1.21,1.06,1.16,678027224.72,678027224.72,0.09999999999999987
2021-10-10,1.16,1.23,1.13,1.14,647048690.0,647048690.0,-0.020000000000000018
2021-10-11,1.14,1.18,1.1,1.14,429676031.0,429676031.0,0.0
2021-10-12,1.14,1.14,1.06,1.1,455399313.0,455399313.0,-0.039999999999999813
2021-10-13,1.1,1.14,1.07,1.13,403291632.0,403291632.0,0.029999999999999805
2021-10-14,1.13,1.16,1.12,1.13,353714419.0,353714419.0,0.0
2021-10-15,1.13,1.17,1.09,1.14,573654581.0,573654581.0,0.010000000000000009
2021-10-16,1.14,1.19,1.13,1.13,339530696.0,339530696.0,-0.010000000000000009
2021-10-17,1.13,1.14,1.02,1.09,384414867.0,384414867.0,-0.039999999999999813
2021-10-18,1.09,1.11,1.06,1.08,321174243.0,321174243.0,-0.010000000000000009
2021-10-19,1.08,1.1,1.07,1.09,235324664.0,235324664.0,0.010000000000000009
2021-10-20,1.09,1.15,1.09,1.15,346122480.0,346122480.0,0.05999999999999983
2021-10-21,1.15,1.16,1.09,1.09,442288500.0,442288500.0,-0.05999999999999983
2021-10-22,1.09,1.13,1.07,1.09,333619107.0,333619107.0,0.0
2021-10-23,1.09,1.1,1.08,1.09,189644449.0,189644449.0,0.0
2021-10-24,1.09,1.1,1.05,1.08,234286648.0,234286648.0,-0.010000000000000009
2021-10-25,1.08,1.1,1.08,1.1,218666074.0,218666074.0,0.020000000000000018
2021-10-26,1.1,1.16,1.09,1.11,439499263.0,439499263.0,0.010000000000000009
2021-10-27,1.11,1.12,0.95,0.99,914728059.0,914728059.0,-0.1200000000000001
2021-10-28,1.0,1.08,0.98,1.06,686113717.0,686113717.0,0.06000000000000005
2021-10-29,1.06,1.09,1.04,1.08,357777322.0,357777322.0,0.020000000000000018
2021-10-30,1.08,1.12,1.06,1.08,372223050.0,372223050.0,0.0
2021-10-31,1.08,1.15,1.07,1.11,659007943.0,659007943.0,0.030000000000000027
2021-11-01,1.11,1.13,1.07,1.09,381430430.0,381430430.0,-0.020000000000000018
2021-11-02,1.09,1.15,1.09,1.13,398377412.0,398377412.0,0.039999999999999813
2021-11-03,1.13,1.24,1.13,1.21,838803472.0,838803472.0,0.08000000000000007
2021-11-04,1.21,1.26,1.16,1.2,553456246.0,553456246.0,-0.010000000000000009
2021-11-05,1.2,1.2,1.13,1.16,318649692.0,318649692.0,-0.040000000000000036
2021-11-06,1.16,1.18,1.1,1.15,260339849.0,260339849.0,-0.010000000000000009
2021-11-07,1.15,1.24,1.15,1.22,371235010.0,371235010.0,0.07000000000000006
2021-11-08,1.22,1.3,1.22,1.28,606055941.0,606055941.0,0.06000000000000005
2021-11-09,1.28,1.29,1.22,1.26,465127517.0,465127517.0,-0.020000000000000018
2021-11-10,1.26,1.35,1.12,1.19,932520826.0,932520826.0,-0.07000000000000006
2021-11-11,1.19,1.25,1.18,1.21,475284132.0,475284132.0,0.020000000000000018
2021-11-12,1.21,1.23,1.15,1.19,446863355.0,446863355.0,-0.020000000000000018
2021-11-13,1.19,1.2,1.17,1.19,240083101.0,240083101.0,0.0
2021-11-14,1.19,1.2,1.17,1.19,192023307.0,192023307.0,0.0
2021-11-15,1.19,1.22,1.17,1.17,266793400.0,266793400.0,-0.020000000000000018
2021-11-16,1.17,1.17,1.04,1.09,599544174.0,599544174.0,-0.07999999999999985
2021-11-17,1.09,1.11,1.06,1.1,383487232.0,383487232.0,0.010000000000000009
2021-11-18,1.1,1.17,1.01,1.04,698664651.0,698664651.0,-0.06000000000000005
2021-11-19,1.04,1.1,1.02,1.09,349087574.0,349087574.0,0.050000000000000044
2021-11-20,1.09,1.1,1.06,1.1,251779916.0,251779916.0,0.010000000000000009
2021-11-21,1.1,1.1,1.05,1.06,228064131.0,228064131.0,-0.040000000000000036
2021-11-22,1.06,1.07,1.03,1.04,307140428.0,307140428.0,-0.020000000000000018
2021-11-23,1.04,1.07,1.02,1.07,341407597.0,341407597.0,0.030000000000000027
2021-11-24,1.07,1.07,1.01,1.03,344750680.0,344750680.0,-0.040000000000000036
2021-11-25,1.03,1.06,1.02,1.04,312211526.0,312211526.0,0.010000000000000009
2021-11-26,1.04,1.05,0.91,0.94,659982617.0,659982617.0,-0.10000000000000009
2021-11-27,0.94,0.97,0.93,0.95,224846313.0,224846313.0,0.010000000000000009
2021-11-28,0.95,0.97,0.88,0.97,336336729.0,336336729.0,0.020000000000000018
2021-11-29,0.97,1.0,0.96,0.99,303393405.0,303393405.0,0.020000000000000018
2021-11-30,0.99,1.03,0.97,1.0,340017409.0,340017409.0,0.010000000000000009
2021-12-01,1.0,1.02,0.98,0.99,250291608.0,250291608.0,-0.010000000000000009
2021-12-02,0.99,0.99,0.95,0.97,213172250.0,213172250.0,-0.020000000000000018
2021-12-03,0.97,0.98,0.89,0.92,297172193.0,297172193.0,-0.04999999999999993
2021-12-04,0.92,0.92,0.6,0.84,1357965897.04,1357965897.04,-0.08000000000000007
2021-12-05,0.85,0.86,0.77,0.8,518767360.0,518767360.0,-0.04999999999999993
