Date,Price,Open,High,Low,Change %
2021-06-14,90.52,90.51,90.6,90.41,-0.04%
2021-06-15,90.54,90.48,90.68,90.35,0.02%
2021-06-16,91.13,90.54,91.4,90.44,0.65%
2021-06-17,91.89,91.43,92.01,91.31,0.83%
2021-06-18,92.22,91.88,92.4,91.81,0.37%
2021-06-21,91.9,92.32,92.37,91.83,-0.35%
2021-06-22,91.76,91.88,92.14,91.64,-0.16%
2021-06-23,91.8,91.73,91.9,91.51,0.05%
2021-06-24,91.81,91.8,91.91,91.66,0.01%
2021-06-25,91.85,91.83,91.88,91.53,0.04%
2021-06-28,91.89,91.81,92.01,91.7,0.04%
2021-06-29,92.05,91.88,92.19,91.86,0.18%
2021-06-30,92.44,92.08,92.45,92.0,0.42%
2021-07-01,92.6,92.35,92.6,92.26,0.17%
2021-07-02,92.23,92.57,92.74,92.18,-0.40%
2021-07-05,92.21,92.24,92.36,92.14,-0.02%
2021-07-06,92.55,92.24,92.66,92.0,0.36%
2021-07-07,92.64,92.53,92.85,92.43,0.11%
2021-07-08,92.42,92.7,92.79,92.24,-0.25%
2021-07-09,92.13,92.36,92.54,92.09,-0.31%
2021-07-12,92.26,92.1,92.42,92.08,0.14%
2021-07-13,92.75,92.23,92.81,92.14,0.53%
2021-07-14,92.41,92.8,92.83,92.35,-0.37%
2021-07-15,92.62,92.39,92.69,92.27,0.23%
2021-07-16,92.69,92.59,92.76,92.53,0.07%
2021-07-19,92.89,92.71,93.04,92.64,0.22%
2021-07-20,92.97,92.88,93.17,92.8,0.09%
2021-07-21,92.75,92.97,93.19,92.73,-0.24%
2021-07-22,92.82,92.8,92.92,92.51,0.07%
2021-07-23,92.91,92.81,93.02,92.78,0.10%
2021-07-26,92.65,92.91,92.96,92.53,-0.28%
2021-07-27,92.43,92.63,92.84,92.32,-0.23%
2021-07-28,92.32,92.46,92.75,92.24,-0.12%
2021-07-29,91.86,92.26,92.29,91.86,-0.50%
2021-07-30,92.17,91.85,92.2,91.78,0.34%
2021-08-02,92.05,92.09,92.17,91.91,-0.14%
2021-08-03,92.08,92.06,92.15,91.89,0.04%
2021-08-04,92.27,92.04,92.31,91.82,0.21%
2021-08-05,92.24,92.28,92.35,92.11,-0.03%
2021-08-06,92.8,92.26,92.84,92.26,0.60%
2021-08-09,92.94,92.78,92.99,92.72,0.16%
2021-08-10,93.06,92.98,93.14,92.94,0.12%
2021-08-11,92.92,93.07,93.19,92.8,-0.14%
2021-08-12,93.04,92.89,93.04,92.85,0.12%
2021-08-13,92.52,92.97,93.01,92.47,-0.56%
2021-08-16,92.63,92.52,92.66,92.48,0.12%
2021-08-17,93.13,92.62,93.17,92.61,0.54%
2021-08-18,93.14,93.14,93.26,92.96,0.01%
2021-08-19,93.57,93.14,93.58,93.14,0.46%
2021-08-20,93.5,93.56,93.73,93.43,-0.08%
2021-08-23,92.96,93.46,93.5,92.95,-0.58%
2021-08-24,92.89,92.99,93.08,92.81,-0.07%
2021-08-25,92.82,92.88,93.13,92.81,-0.07%
2021-08-26,93.06,92.83,93.08,92.81,0.26%
